URL,Title,Price,Description,Color ,Composition ,Closure,Length ,Quantity ,Country of Origin ,img1,img2,img3,img4
https://www.houseofindya.com/gold-kundan-green-drop-pearl-earring-necklace-set-290/iprdt,Gold Kundan Green Drop Pearl Earring Necklace Set, 1750,"Set the tone for subtle glamour with this kundan and green drop set. Features a necklace crafted out of pearls, kundan and delicate green beads along with matching earrings. "," Gold, White, Green"," Alloy, Glass, Beads, Pearl ", Dori, 160 Mm, 1N, India,https://img.faballey.com/images/Product/ZNS00047/d3.jpg,https://img.faballey.com/images/Product/ZNS00047/d4.jpg,https://img.faballey.com/images/Product/ZNS00047/d5.jpg,https://img.faballey.com/images/Product/ZNS00047/d6.jpg
https://www.houseofindya.com/silver-oxidized-green-stone-star-earring-necklace-set-290/iprdt,Silver Oxidized Green Stone Star Earring Necklace Set, 1750,"Eclectic and bold, this silver and green bead earring necklace set is a winner of an accessory to pair with any and every outfit. Features a distinctive star design necklace with green stone and matching dangler earrings. ",,,, 330 Mm, 1N, India,https://img.faballey.com/images/Product/ZNS00021/d3.jpg,https://img.faballey.com/images/Product/ZNS00021/d4.jpg,https://img.faballey.com/images/Product/ZNS00021/d5.jpg,https://img.faballey.com/images/Product/ZNS00021/d6.jpg
https://www.houseofindya.com/gold-kundan-pear-dainty-drop-earrings--necklace-set-290/iprdt,Gold Kundan Pear Dainty Drop Earrings Necklace Set, 1750,"For all those who shy away from statement pieces, this set is the perfect pick. Features a necklace crafted out of oval shaped kundan stones and pearl cluster drops along with earrings. "," Gold, White "," Alloy, Glass, Beads, Pearl ", Dori,, 1N, India,https://img.faballey.com/images/Product/ZNS00046/d3.jpg,https://img.faballey.com/images/Product/ZNS00046/d4.jpg,https://img.faballey.com/images/Product/ZNS00046/d5.jpg,https://img.faballey.com/images/Product/ZNS00046/d6.jpg
https://www.houseofindya.com/gold-round-kundan-pearl-earring-necklace-set-290/iprdt,Gold Round Kundan Pearl Earring Necklace Set, 1750,Amp up your festive season glam with this delectable kundan set. Featuring a string of kundan along with pearl drops running along the length of the necklace with pearl and kundan stud earrings ," Gold, White"," Alloy, Glass, Pearl ", Dori, 30 Mm, 1N, India,https://img.faballey.com/images/Product/ZNS00035/d3.jpg,https://img.faballey.com/images/Product/ZNS00035/d4.jpg,https://img.faballey.com/images/Product/ZNS00035/d5.jpg,https://img.faballey.com/images/Product/ZNS00035/d6.jpg
https://www.houseofindya.com/gold-kundan-mangtika-earring-necklace-set-290/iprdt,Gold Kundan Mangtika Earring Necklace Set, 3500,Take your festive wardrobe up a notch with this ethereal kundan set. Features a gold plated white kundan set that comes with pearl drop kundan earrings and a mangtikka. ,,,,, 1N, India,https://img.faballey.com/images/Product/ZNS00002/d3.jpg,https://img.faballey.com/images/Product/ZNS00002/d4.jpg,https://img.faballey.com/images/Product/ZNS00002/d5.jpg,https://img.faballey.com/images/Product/ZNS00002/d6.jpg
https://www.houseofindya.com/gold-kundan-red-drop-meena-earring-necklace-set-290/iprdt,Gold Kundan Red Drop Meena Earring Necklace Set, 2250,A classic and delicate piece like this red beaded kundan set is a must-have in every jewellery collection. Features a necklace crafted from kundan stones and red beads ," Gold, White, Red"," Alloy, Glass, Beads ", Dori,, 1N, India,https://img.faballey.com/images/Product/ZNS00054/d3.jpg,https://img.faballey.com/images/Product/ZNS00054/d4.jpg,https://img.faballey.com/images/Product/ZNS00054/d5.jpg,https://img.faballey.com/images/Product/ZNS00054/d6.jpg
https://www.houseofindya.com/gold-leaf-kundan-double-pearl-earrings-necklace-set-290/iprdt,Gold Leaf Kundan Double Pearl Earrings Necklace Set, 1750,"For all those who shy away from statement pieces, this set is the perfect pick. Features a kundan studded choker with white pearls on either side, and stud earrings"," Gold, White"," Alloy, Glass, Pearl ", Dori, 120 Mm, 1N, India,https://img.faballey.com/images/Product/ZNS00045/d3.jpg,https://img.faballey.com/images/Product/ZNS00045/d4.jpg,https://img.faballey.com/images/Product/ZNS00045/d5.jpg,https://img.faballey.com/images/Product/ZNS00045/d6.jpg
https://www.houseofindya.com/gold-kundan-green-drop-double-orb-earrinf-necklace-set-290/iprdt,Gold Kundan Green Drop Double Orb Earring Necklace Set, 2250,"Glam up this festive season with this stunning, double layered kundan set. Features a double layered kundan necklace with green drop beads and matching earrings "," Gold, White, Green",,,, 1N, India,https://img.faballey.com/images/Product/ZNS00038/d3.jpg,https://img.faballey.com/images/Product/ZNS00038/d4.jpg,https://img.faballey.com/images/Product/ZNS00038/d5.jpg,https://img.faballey.com/images/Product/ZNS00038/d6.jpg
https://www.houseofindya.com/gold-green-kundan-bead-drop-earring-necklace-set-290/iprdt,Gold Green Kundan Bead Drop Earring Necklace Set, 3750,Glam up this festive season with this stunner of a gold plated kundan set. Features a layered kundan necklace with a green drop along with matching dangler earrings ," Gold, White, Green",,,, 1N, India,https://img.faballey.com/images/Product/ZNS00018/d3.jpg,https://img.faballey.com/images/Product/ZNS00018/d4.jpg,https://img.faballey.com/images/Product/ZNS00018/d5.jpg,https://img.faballey.com/images/Product/ZNS00018/d6.jpg
https://www.houseofindya.com/white-diamond-aqua-drop-earring-necklace-set-290/iprdt,White Diamond Aqua Drop Earring Necklace Set, 2450,"Take the glamour quotient up a few notches with this aqua drop diamond set. Featuring an enchanting aqua stone drop on the necklace and earrings, this set is equal parts sizzling siren and sophisticated. "," Gold, White, Aqua "," Alloy, Stone "," Lobster Clasp, Push Back", 20 Mm, 1N, India,https://img.faballey.com/images/Product/ZNS00013/d3.jpg,https://img.faballey.com/images/Product/ZNS00013/d4.jpg,https://img.faballey.com/images/Product/ZNS00013/d5.jpg,https://img.faballey.com/images/Product/ZNS00013/d6.jpg
https://www.houseofindya.com/gold-kundan-pearl-earring-necklace-set-290/iprdt,Gold Kundan Pearl Earring Necklace Set, 2375,"Be it for a day wedding or a night soiree, this gold toned necklace and earring set can be your go-to. Features a necklace crafted of two strings of pearls and square shaped kundan stones along with earrings. "," Gold, White, Off"," Alloy, Glass, Beads ", Dori,, 1N, India,https://img.faballey.com/images/Product/ZNS00044/d3.jpg,https://img.faballey.com/images/Product/ZNS00044/d4.jpg,https://img.faballey.com/images/Product/ZNS00044/d5.jpg,https://img.faballey.com/images/Product/ZNS00044/d6.jpg
